Submitted by CCM,VID,Vessel Name,Flag,Registration Number,WIN,Previous Names,Reg Port,Owner Name,Owner Address,Master Name,Master Nationality,Previous Flags,IRCS,Communication Details,Built in Country,Built in Year,Vessel Type,Crew,Fishing Methods,Length,Length Type,Length Units,Moulded Depth,Moulded Depth Units,Beam,Beam Units,Tonnage,Tonnage Type,Engine Power,Power Units,Freezer Types,Freezing Capacity,Freezing Capacity Units,Number of Freezers,FishHold Capacity,FishHold Cap Units,Auth Type,Auth Number,Auth Area,Auth Species,Auth Period From,Auth Period To,Purse seine vessel authorised to tranship at sea,IMO-LR,Authorisation to tranship on the high seas,Under Charter,Charterer Name,Chartering CCM,Address of Charter,Charter Start Date,Charter End Date
United States of America,3952,DALENA,United States of America,1038177,WDJ5176,DALENA,Bellingham,F/V DALENA INC,"PO BOX 32450, BELLINGHAM, WA 98228-4450, USA","DIEHL, BARRY;HILL, PAUL;ARNOLD, PATRICK",United States of America,NONE KNOWN,WDJ5176,SATELLITE TELEPHONE (OTHER THAN INMARSAT): 12542196182,United States of America,1995,Troller,,Trolling lines,89.4,REGISTERED,Feet,12.9,Feet,24,Feet,186,GRT,525,HP,Blast,5,tons,4,109,MT,High seas fishing permit with a WCPFC area endorsement,1038177,High Seas in the WCPF Convention Area,Highly Migratory Species,08-Nov-19,24-Mar-22,Not Applicable,9092070,YES,NO,,,,,
United States of America,3978,FOUR C'S,United States of America,548275,WCW9970,FOUR C'S,Seattle,F/V FOUR C'S INC,"350 WARD AVE #106, HONOLULU, HI 96814, USA","SANCHEZ, ROBERT",United States of America,NONE KNOWN,WDJ9489,SATELLITE TELEPHONE (OTHER THAN INMARSAT): 2545431330: OTHER: SEATEL GLOBALSTAR,United States of America,1973,Troller,2,Trolling lines,52,REGISTERED,Feet,7.3,Feet,15,Feet,43,GRT,235,HP,Brine,5,tons,1,36,MT,High seas fishing permit with a WCPFC area endorsement,548275,High Seas in the WCPF Convention Area,Highly Migratory Species,06-Jun-18,22-Jun-21,Not Applicable,,YES,NO,,,,,
United States of America,4225,KILAUEA,United States of America,518306,WDF4959,KILAUEA,Seattle,"F/V KILAUEA, INC","PO BOX 3345, HONOLULU, HI 96801-3345, USA","YOU, MICHAEL;OSTENDORP, MICHAEL",United States of America,NONE KNOWN,WDF4959,NONE,United States of America,1969,Tuna longliner,7,Drifting longlines,72,REGISTERED,Feet,12,Feet,18.4,Feet,98,GRT,540,HP,Ice,2.5,tons/day,1,23,MT,High seas fishing permit with a WCPFC area endorsement,518306,High Seas in the WCPF Convention Area,Highly Migratory Species,29-Jan-18,29-Jan-23,Not Applicable,,YES,NO,,,,,
United States of America,4373,MARINA,United States of America,1040505,WDF5745,TRACY CHERI II;MARINA,Anacortes,"F/V MARINA, LLC","6645 RYKOSA LN, ANACORTES, WA 98221-4301, USA","MINTZ, STEPHEN;FEE, DAVID",United States of America,NONE KNOWN,WDF5745,NONE,United States of America,1996,Troller,5,"Drifting longlines, Trolling lines",89.4,REGISTERED,Feet,12.9,Feet,24,Feet,189,GRT,540,HP,Ice;Blast,0;30,tons/day;tons,0;2,109,MT,High seas fishing permit with a WCPFC area endorsement,P0000000028520,High Seas in the WCPF Convention Area,Highly Migratory Species,18-Jul-17,18-Jul-22,Not Applicable,8939893,YES,NO,,,,,
United States of America,4376,MIKETTE,United States of America,622875,WDE2331,MIKETTE;TUCANA;MIKETTE,Anacortes,"F/V MIKETTE, LLC","6645 RYKOSA LN, ANACORTES, WA 98221-4301, USA","FEE, DAVID;PRATT, GEOFFREY",United States of America,NONE KNOWN,WDE2331,NONE,United States of America,1980,Tuna longliner,5,"Drifting longlines, Trolling lines",84.7,REGISTERED,Feet,11.5,Feet,21.5,Feet,142,GRT,540,HP,Ice;Blast,0;35,tons/day;tons,0;2,64,MT,High seas fishing permit with a WCPFC area endorsement,P0000000028521,High Seas in the WCPF Convention Area,Highly Migratory Species,18-Jul-17,18-Jul-22,Not Applicable,8036976,YES,NO,,,,,
United States of America,4124,SOUTHERN HORIZON,United States of America,1052597,WDE9588,PACIFIC TRADER;CAROLYN J;SOUTHERN HORIZON,San Diego,F/V PACIFIC HORIZON,"1250 SANTA BARBARA ST, SAN DIEGO, CA 92107-3960, USA","GIBBS, JOHN;SO OTAGA, PEDRO",United States of America,NONE KNOWN,WDE9588,NONE,United States of America,1997,Tuna longliner,6,"Drifting longlines, Trolling lines",89.4,REGISTERED,Feet,12.9,Feet,24,Feet,188,GRT,575,HP,Blast;RSW;Blast,3;250;6500,tons;tons;tons,1;1;3,91,MT,High seas fishing permit with a WCPFC area endorsement,1052597,High Seas in the WCPF Convention Area,Highly Migratory Species,30-Aug-18,30-Aug-23,Not Applicable,8940995,YES,NO,,,,,
United States of America,4569,ST JUDE,United States of America,917554,WDE4456,CAPT D & A;ST. JUDE,Pago Pago,F/V ST JUDE LLC,"11628 SE 48TH ST, BELLEVUE, WA 98006-2710, USA","JOHNSON, AARON",United States of America,NONE KNOWN,WDE4456,NONE,United States of America,1987,Troller,5,"Handlines and pole-lines (hand operated), Trolling lines",83.2,REGISTERED,Feet,12,Feet,24,Feet,174,GRT,624,HP,Blast,7,tons,2,62,MT,High seas fishing permit with a WCPFC area endorsement,P0000000031619,High Seas in the WCPF Convention Area,Highly Migratory Species,02-Aug-18,31-Jul-23,Not Applicable,8855877,YES,NO,,,,,
United States of America,9850,JENNY,United States of America,615433,WDE6871,TIFFANY VANCE;VIRGINIA CREEPER;JENNY,Honolulu,F/V VIRGINIA CREEPER LLC,"350 WARD AVE STE 106-335, HONOLULU, HI 96814-4010, USA","LEWIS, DAVID;WESTBROOK, PHILIP;WESTBROOK, PHILLIP",United States of America,NONE KNOWN,WDE6871,NONE,United States of America,1979,Tuna longliner,6,Drifting longlines,58.5,REGISTERED,Feet,9,Feet,19,Feet,83,GRT,400,HP,Ice,4,tons/day,1,45,MT,High seas fishing permit with a WCPFC area endorsement,P0000000009825,High Seas in the WCPF Convention Area,Highly Migratory Species,29-Jan-20,29-Jan-25,Not Applicable,,YES,NO,,,,,
United States of America,5714,WENDY SEAA,United States of America,1043151,WDD4689,WENDY SEAA;PENNY PRIDE;WENDY SEAA,Anacortes,"F/V WENDY SEAA, LLC","6645 RYKOSA LN, ANACORTES, WA 98221-4301, USA","SALISBURY, MICHAEL;PIRAK-AMES, BRET",United States of America,CA,WDD4689,SATELLITE TELEPHONE (OTHER THAN INMARSAT): 870773211969,Canada,1964,Troller,5,Trolling lines,106.6,REGISTERED,Feet,13.7,Feet,24.8,Feet,194,GRT,590,HP,Blast,30,tons,2,127,MT,High seas fishing permit with a WCPFC area endorsement,P0000000028311,High Seas in the WCPF Convention Area,Highly Migratory Species,23-Jun-17,23-Jun-22,Not Applicable,6418625,YES,NO,,,,,
Chinese Taipei,11000,FAIR BRAVO NO.707,Chinese Taipei,CT8-0116,BL2116,NONE,Kaohsiung,"FAIR BRAVO FISHERY CO., LTD","Basement No.3, Yugang E. 2nd Rd., Qianzhen Dist., Kaohsiung City 806, Taiwan (R.O.C.)
","PAN, CHIN-SHENG",Chinese Taipei,NONE,BL2116,Satellite telephone number: 870 773121172,Chinese Taipei,2014,Tuna purse seiner,40,With purse lines (purse seine),70.59,Overall,Meters,7.25,Meters,12.3,Meters,"1,288.00",GT,3600,HP,BRINE,250,MT/DAY,5,1763,CuM,JIAN WEI 106-,126,Pacific Ocean,Tuna and Tuna-like,13-Oct-17,12-Oct-22,NO,9738703,NO,NO,,,,,
Chinese Taipei,10377,NEW FAIR DISCOVERY NO.707,Chinese Taipei,CT8-0099,BL2099,NONE,Kaohsiung,"FAIR DISCOVERY FISHERY CO.,LTD. ","2F., No.3, Yugang E. 2nd Rd., Qianzhen Dist., Kaohsiung City 806, Taiwan (R.O.C.)
","CHEN, SHUI-CHI",Chinese Taipei,None,BL2099,"Inmarsat C(447798978)
Satellite Phone Number:7731-21750
",Chinese Taipei,2012,Tuna purse seiner,40,With purse lines (purse seine),70.59,Overall,Meters,7.25,Meters,12.3,Meters,"1,280.00",GT,3600,HP,BRINE,250,MT/DAY,6,1758,CuM,JIAN WEI 108-,118,Pacific Ocean  ,Tuna and Tuna-like  ,04-Oct-19,03-Oct-23,NO,9669079,NO,NO,,,,,
Vanuatu,11827,WIN WIN 707,Vanuatu,2324,YJTV8,NONE,Port Vila,FAIR RICH INTERNATIONAL GROUP LTD,"FIRST FLOOR, PKF HOUSE, LINI HIGHWAY, PORT VILA, VANUATU","LIU, CHING - FU",Chinese Taipei,NONE,YJTV8,"IMN: 519026, CLS, Triton Advanced, Serial #: TM0000119512",Chinese Taipei,2018,Tuna purse seiner,40,With purse lines (purse seine),74.71,Overall,Meters,7.45,Meters,12.8,Meters,"1,688.00",GT,3800,PS,Other (Brine(NaCl) BR),150,MT/Day,5,1938,CuM,International Authorization to Fish Certificate,VAN 13-ATF-19,WCPFC,TUNA AND TUNA LIKE SPECIES,11-Jul-19,10-Jul-22,NOT APPLICABLE,9887449,NO,NO,,,,,
Chinese Taipei,4425,FAIR WELL NO.707,Chinese Taipei,CT8-0127,BL2127,FAIR RICH NO.707; NEW FAIR WELL NO.707,Kaohsiung,"FAIR WELL FISHERY CO., LTD","2F., No.3, Yugang E. 2nd Rd., Qianzhen Dist., Kaohsiung City 806, Taiwan (R.O.C.) ","CHANG, CHING-TUN",Chinese Taipei,VANUATU,BL2127,Satellite telephone number: 002-870-773169594,Chinese Taipei,2004,Tuna purse seiner,38,With purse lines (purse seine),70.59,Overall,Meters,7.25,Meters,12.3,Meters,"1,288.00",GT,3200,HP,BRINE,250,MT/DAY,6,1767,CuM,JIAN WEI 106-,127,Pacific Ocean,Tuna and Tuna-like,14-Feb-17,13-Feb-21,No,8996346,NO,NO,,,,,
Papua New Guinea,5429,CRYSTAL 101,Papua New Guinea,954,P2V5076,NONE,Port Moresby,Fair Well Investment Limited,"P O Box 262, Gordons, NCD, Papua New Guinea
",HUANG SHIHCHUN,Chinese Taipei,Vanuatu,P2V5076,"Inmarsat C:GWD013-007-031108
IMN:
Telephone: 8816-22476224
",Chinese Taipei,2001,Tuna longliner,20,Longlines (not specified),27.6,Overall,Meters,2,Meters,5,Meters,90,GT,600,HP,Blast Freezer,5,Metric Tons,2,60,MT,Papua New Guinea fishing vessel licence,PNG-370,"Outside 6 nautical miles of any land, island or declared reef within Papua New Guinea fisheries waters",TUNA,01-Jan-20,31-Dec-20,NO,8789731,NO,NO,,,,,
Papua New Guinea,5437,CRYSTAL 102,Papua New Guinea,955,P2V5077,NONE,Port Moresby,Fair Well Investment Limited,"P O Box 262, Gordons, NCD, Papua New Guinea
",Chen Fu Chiang,Chinese Taipei,Vanuatu,P2V5077,"Inmarsat C:GWD013-007-071409
Mobile Number (IMN):
Telephone: 8816-22450013
Fax:
Email:
",Chinese Taipei,2001,Tuna longliner,20,Longlines (not specified),27.6,Overall,Meters,2,Meters,5,Meters,90,GRT,600,HP,,45,Metric Tonne,2,60,MT,Papua New Guinea fishing license,PNG-371,"Outside 6 nautical miles of and land, island or reefs within the Papua New Guinea fisheries waters",TUNA,01-Jan-20,31-Dec-20,NO,8789810,NO,NO,,,,,
Papua New Guinea,5438,CRYSTAL 103,Papua New Guinea,951,P2V5078,NONE,Port Moresby,Fair Well Investment Limited,"P O Box 262, Gordons, NCD, Papua New Guinea
",Yu Yonghua,China,Vanuatu,P2V5078,"Inmarsat C:GWD013-026-071409
Mobile Number (IMN):
Telephone: 8816-21464744
Fax:
Email:
",Chinese Taipei,2001,Tuna longliner,20,Longlines (not specified),27.6,Overall,Meters,2,Meters,5,Meters,90,GRT,600,HP,Blast Freezer,45,Metric Tonne,2,60,MT,Papua New Guinea fishing license,PNG-372,"Outside 6 nautical miles of any land, island or reefs within the Papua New Guinea fisheries waters",TUNA,01-Jan-20,31-Dec-20,Not specified,8789781,NO,NO,,,,,
Papua New Guinea,5439,CRYSTAL 106,Papua New Guinea,952,P2V5079,NOT STATED,Port Moresby,Fair Well Investment Limited,"P O Box 262, Gordons, NCD, Papua New Guinea
",Fu Fei Ting,China,Vanuatu,P2V5079,"Inmarsat C:GWD013-018-052908

Telephone:8816-22475247",Chinese Taipei,2001,Tuna longliner,20,Longlines (not specified),27.6,Overall,Meters,2,Meters,5,Meters,90,GRT,600,HP,,5,Metric Tons,2,60,CuM,Papua New Guinea's fishing vessel licence.,PNG-373,"Outside 6 nautical miles of any land, island or reefs within the Papua New Guinea fisheries waters",TUNA,01-Jan-20,31-Dec-20,NO,8789793,NO,NO,,,,,
Papua New Guinea,5443,DIAMOND 201,Papua New Guinea,953,P2V5081,NOT STATED,Port Moresby,Fair Well Investment Limited,"P O Box 262, Gordons, NCD, Papua New Guinea
",Zhang Zhengdong,China,Nil,P2V5081,"Faria Watchdog 750VMS SB

Telephone:870-776725400
Email: GWD13030052908@VMSTRACKING.COM",Chinese Taipei,2001,Tuna longliner,20,Longlines (not specified),27.6,Overall,Meters,2,Meters,5,Meters,90,GRT,600,HP,Blast Freezer,5,Metric Tons,2,60,MT,Papua New Guinea's fishing vessel licence.,PNG-360,"Outside 6 nautical miles of any land, island or reefs within the Papua New Guinea fisheries waters",TUNA,01-Jan-20,31-Dec-20,NO,8789937,NO,NO,,,,,
Papua New Guinea,5444,DIAMOND 202,Papua New Guinea,1040,P2V5170,NOT SATED,Port Moresby,Fair Well Investment Limited,"P O Box 262, Gordons, NCD, Papua New Guinea
",ZHU HENAN,China,NONE,P2V5170,"Inmarsat C:GWD013-033-053008
Mobile Number (IMN):
Telephone: 870-776431354
Fax:
Email:
",Chinese Taipei,2005,Tuna longliner,20,Longlines (not specified),29.7,Overall,Meters,2.15,Meters,5.5,Meters,98,GRT,600,HP,Blast Freezer,5,Metric Tonne,2,60,MT,Papua New Guinea's fishing vessel licence.,PNG-989,"Outside 6 nautical miles of any land, island or reefs within the Papua New Guinea fisheries waters",TUNA,01-Jan-20,31-Dec-20,Not specified,8789949,NO,NO,,,,,
Papua New Guinea,5446,DIAMOND 206,Papua New Guinea,1064,P2V5192,NONE,Port Moresby,Fair Well Investment Limited,"P O Box 262, Gordons, NCD, Papua New Guinea
",CHENG FUSHENG,Chinese Taipei,Vanuatu,P2V5192,"Inmarsat C: GWD013-002-052808
Mobile Number (IMN):
Telephone: 8816-21461830
Fax:
Email:
",Chinese Taipei,2002,Tuna longliner,20,Longlines (not specified),23.8,Overall,Meters,1.7,Meters,5.6,Meters,93.18,GRT,760,HP,Blast Freezer,5,Cubic Meter,2,65,MT,Papua New Guinea Fishing Vessel License,PNG-987,"Outside 6 nautical miles of any land, island or reefs within the Papua New Guinea fisheries waters",Tuna,01-Jan-20,31-Dec-20,Not specified,8789951,NO,NO,,,,,
Chinese Taipei,3516,SHENG JYI HUEI NO.16,Chinese Taipei,CT4-2330,BJ4330,NONE,Kaohsiung,FANG CHIH JUNG,"No.179, Guangfu Rd., Xinyuan Township, Pingtung County 932, Taiwan (R.O.C.)
","FANG, CH-JUNG",Chinese Taipei,NONE,BJ4330,Satellite telephone number:009-881621469676,Chinese Taipei,1993,Tuna longliner,12,Longlines (not specified),22.4,Overall,Meters,1.85,Meters,4.3,Meters,59.34,GT,650,HP,Other(Frozen),20,HP,1,55,CuM,YUAN YAN 107-,650,Pacific Ocean,Tuna and Tuna-like,25-Jun-18,24-Jun-23,NOT APPLICABLE,8541177,YES,YES: CCM-Flagged,Palau International Traders Inc.,Palau,"P.O.Box 5000, Koror, Palau 96940;terry_huang@ltfv.com(680.488.6072/680.776.4055)","Tuesday, January 1, 2019","Tuesday, December 31, 2019"
Chinese Taipei,10146,YU SHUN NO.668,Chinese Taipei,CT4-3088,BJ5088,HAI CHIEN HSING NO.19,Kaohsiung,FANG CHUN WEI ,"No.42-1, Ln. 1007, Zhonghua 5th Rd., Qianzhen Dist., Kaohsiung City 80661, Taiwan 
","GUO, JYUN-YI",Chinese Taipei,NONE,BJ5088,sat:765088290,Chinese Taipei,2011,Tuna longliner,17,Longlines (not specified),23.95,Overall,Meters,2,Meters,5.8,Meters,97.55,GT,939,HP,Blast,80,RT,2,75,CuM,YUAN YAN 105- ,1196,Pacific Ocean,Tuna and Tuna-like,02-Aug-16,01-Aug-21,NOT APPLICABLE,8777908,YES,YES: CCM-Flagged,National Fisheries Developments Limited,Solomon Islands,P.O Box 717 Honiara Solomon Islands,"Monday, January 28, 2019","Tuesday, December 31, 2019"
Chinese Taipei,3447,DER HORNG TSAIR,Chinese Taipei,CT4-2073,BJ4073,NONE,Kaohsiung,"FANG, CHIU-LIEN","No.16, Lane 50, Yonghe Rd., Sinyuan Township, Pingtung County, Taiwan","LII, JYH HORNG",Chinese Taipei,NONE,BJ4073,Satellite telephone number: 009-8816-21419038,Chinese Taipei,1990,Tuna longliner,10,Longlines (not specified),22.3,Overall,Meters,1.76,Meters,4.18,Meters,57.72,GT,545,HP,Other(Frozen),20,HP,1,75,CuM,YUAN YAN 108-,474,Pacific Ocean,Tuna and Tuna-like,15-Apr-19,14-Apr-24,NOT APPLICABLE,8342040,YES,NO,,,,,
Chinese Taipei,2660,CHIN SEN TSAI NO.16,Chinese Taipei,CT3-4617,BK6617,JIN SHENQ TSAIR NO.16,Kaohsiung,"FANG, MING-SHAN","No.2, Ln. 125, Shengxin Rd., Xinyuan Township, Pingtung County 932, Taiwan (R.O.C.)
","FANG, MING-SHAN ",Chinese Taipei,NONE,BK6617,NONE,Chinese Taipei,1986,Tuna longliner,10,Longlines (not specified),22,Overall,Meters,1.9,Meters,4.3,Meters,49.7,GT,450,HP,Ice,0,NA,0,33,CuM,NONG TE YU YAN 107-,2121,Pacific Ocean ,Tuna and Tuna-like,01-Mar-18,06-Nov-21,NOT APPLICABLE,8547195,YES,NO,,,,,
Chinese Taipei,1582,SHENG CHI HUI NO.7,Chinese Taipei,CT3-4511,BK6511,NONE,Kaohsiung,"FANG, SHUI SHENG","No.179, Guangfu Rd., Xinyuan Township, Pingtung County, Taiwan(R.O.C.)  
","FANG, SHOEI-SHENQ",Chinese Taipei,NONE,BK6511,"Channels: 002-8707611 55595
Numbers: 886 8 8311574
Inmarsat C: 492049292",Chinese Taipei,1986,Tuna longliner,10,Longlines (not specified),22,Overall,Meters,1.93,Meters,4.2,Meters,49.55,GT,545,HP,Other(Frozen),30,HP,2,40,CuM,NONG TE YU YAN 105- ,1988,Pacific Ocean,Tuna and Tuna-like,25-May-16,24-May-21,NOT APPLICABLE,8541036,YES,YES: CCM-Flagged,Palau International Traders Inc.,Palau,"P.O.Box 5000, Koror, Palau 96940;terry_huang@ltfv.com(680.488.6072/680.776.4055)","Tuesday, January 1, 2019","Tuesday, December 31, 2019"
Chinese Taipei,2656,SHENG CHI HUEI NO.12,Chinese Taipei,CT3-4602,BK6602,SHENQ JYI HUEI NO.12,Kaohsiung,"FANG, WU-CHEN","No.179, Guangfu Rd., Xinyuan Township, Pingtung County 932, Taiwan","HWANG, YEONG-FANG",Chinese Taipei,NONE,BK6602,Satellite telephone number: 002-881631833674,Chinese Taipei,1986,Tuna longliner,10,Longlines (not specified),22,Overall,Meters,1.93,Meters,4.2,Meters,49.55,GT,605,HP,Other(Frozen),30,HP,1,68,CuM,NONG TE YU YAN 104- ,2118,Pacific Ocean,Tuna and Tuna-like,13-May-15,12-May-20,NOT APPLICABLE,8541189,YES,YES: CCM-Flagged,Palau International Traders Inc.,Palau,"P.O.Box 5000, Koror, Palau 96940;terry_huang@ltfv.com(680.488.6072/680.776.4055)","Tuesday, January 1, 2019","Tuesday, December 31, 2019"
Chinese Taipei,3673,SHENG CHI HUI NO.2,Chinese Taipei,CT4-2524,BJ4524,NONE,Kaohsiung,"FANG, WU-CHEN","No. 179, Guangfu Rd., Xinyuan Township, Pingtung County 93248, Taiwan (R.O.C.)","HWANG, CHWAN-TZONG",Chinese Taipei,NONE,BJ4524,Satellite telephone number:009-881631555523,Chinese Taipei,1996,Tuna longliner,12,Longlines (not specified),22.1,Overall,Meters,1.72,Meters,4.24,Meters,52.52,GT,600,HP,Other(Frozen),20,HP,2,55,CuM,YUAN YAN 105- ,824,Pacific Ocean,Tuna and Tuna-like,25-May-16,24-May-21,NOT APPLICABLE,8541024,YES,YES: CCM-Flagged,Palau International Traders Inc.,Palau,"P.O.Box 5000, Koror, Palau 96940;terry_huang@ltfv.com(680.488.6072/680.776.4055)","Tuesday, January 1, 2019","Tuesday, December 31, 2019"
Philippines,11252,WARREN 6,Philippines,12-0002435,DUM-3240,NONE,General Santos,FATIMA FISHING/SANCHO S. VILLAGONZALO ,"BRGY. FATIMA, GENERAL SANTOS CITY",AGUSTIN DOMINGUEZ,Philippines,NONE,DUM-3240,"VMS
VHF ICOM IC M304 RADIO TRANSCEIVER
HF ICOM IC M304 RADIO TRANSCEIVER",Philippines,2014,FISH CARRIER,7,,40.37,Registered,Meters,3.65,Meters,6.09,Meters,193.65,GT,456,KW,ICE,NONE,NONE,NONE,130,MT,INTERNATIONAL FISHING PERMIT,HSP1-MC-FFV-2018-0548,WCPO-HSP No. 1,TUNA & TUNA LIKE,16-Feb-18,15-Feb-21,NOT APPLICABLE,8797128,,NO,,,,,
Panama,11903,ANGEL 106,Panama,25461-PEXT-11,3FNC6,LUCKY 6,Panama,FAVOUR CHANCE HOLDINGS LIMITED,"VISTRA CORPORATE SERVICES CENTRE, WICKHAMS CAY II, ROAD
TOWN, TORTOLA VG1110, BRITISH VIRGIN ISLAND
",CHEN GUO FANG,China,NONE KNOWN,3FNC6,"THRANE AND THRANE A/S SAILOR 6140
422804580 ",Japan,1996,BUNKER,19,,110.1,Registered,Meters,11.2,Meters,20,Meters,"6,275.00",GRT,3603,KW,,,,,,,SUPPORT FISHING VESSEL,02-97-1420-212-859,WCPO,NOT APPLICABLE,27-Dec-19,27-Dec-20,Not specified,9141895,,NO,,,,,
United States of America,4083,AMERICA,United States of America,1053984,WDE5910,AMERICA,Pago Pago,FELI FISHERIES INC,"PO BOX 1571, PAGO PAGO, AS 96799, USA","KASIANO, ANDREW",United States of America,NONE KNOWN,WDE5910,EMAIL INMARSAT ADDRESS: CAPT.508716@THORIUM.CLSAMERICA.COM: INMARSAT: C,United States of America,1997,Tuna longliner,8,Drifting longlines,78.4,REGISTERED,Feet,12.1,Feet,23,Feet,156,GRT,450,HP,Blast,50,tons,2,73,MT,High seas fishing permit with a WCPFC area endorsement,1053984,High Seas in the WCPF Convention Area,Highly Migratory Species,12-May-16,04-May-21,Not Applicable,8941004,YES,NO,,,,,
United States of America,9860,RIVAL,United States of America,631410,WCY8099,BALD EAGLE;BREANNA LYNN;RIVAL,Pago Pago,FELI FISHERIES INC,"PO BOX 1571, PAGO PAGO, AS 96799, USA","SOOTOGA, PELASIO",United States of America,NONE KNOWN,WCY8099,EMAIL INMARSAT ADDRESS: CAPT.508698@THORIUM.CLSAMERICA.COM: INMARSAT: C,United States of America,1981,Tuna longliner,8,Drifting longlines,71,REGISTERED,Feet,11.9,Feet,21.2,Feet,120,GRT,470,HP,Brine,52,tons,1,54,MT,High seas fishing permit with a WCPFC area endorsement,P0000000019898,High Seas in the WCPF Convention Area,Highly Migratory Species,12-May-16,04-May-21,Not Applicable,8853491,YES,NO,,,,,
Kiribati,9468,YUN RUN,Kiribati,K-16901307,T3FN2,NEW HAYATSUKI,Tarawa,"FENG RUN SHIPPING CO.,LTD","Unit 602 6F, Causeway Comm Bldg
1 Sugar Street, Causeway-bay
Hong Kong
",Wang Shou Qiu,China,PANAMA,T3FN2,"Inmarsat C:452956711
Inmarsat F:00870-761125624
",Japan,1990,FISH CARRIER,116,,116.2,Overall,Meters,9.75,Meters,16.2,Meters,"4,287.00",GRT,4471,HP,Brine,0,CuM,3,5449,CuM,"NON-LICENSED		",K-16901307  ,"WCPFO		","TUNA AND TUNA LIKE SPECIES		",01-Jan-20,31-Dec-20,NO,9003756,NO,NO,,,,,
Panama,9248,YUN RUN 3,Panama,47802-16,HOAZ,YUN RUN 3,Panama,"FENGRUN SHIPPING CO., LIMITED",TOWER 1 15/F LIPPO CENTRE QUEENSWAY HK,YANG ZHONG SHENG,China,KIRIBATI,HOAZ,INMARSAT C 437472312,Japan,1997,FISH CARRIER,22,,86.09,Overall,Meters,8.6,Meters,14.5,Meters,"2,713.00",GT,1471,KW,OTHER,4279,CUM,4,4279,CuM,SUPPORT VESSEL,02-98-1032-098-633,WCPO,"TUNA, TUNA LIKE",18-May-16,18-May-20,Not specified,9161613,YES,NO,,,,,
Fiji,9773,FENGYUH NO. 6,Fiji,825,3DWF,NIL,Suva,Fengyuh Fisheries Ltd,"P O Box 16386, Suva

",Zhu Heguang,China,nil,3DWF,"Furuno, Inmarsat-C MES Transceiver, Felcom 16


",China,2010,Longliner,15,Longlines (not specified),36.6,Overall,Meters,2.85,Meters,6.2,Meters,193,GRT,220,KW,Blast,60,CuM,7,65,MT,Authorisation to fish beyond Fiji fisheries waters,FJHSFA0019,High Seas  ,Tuna ,16-Feb-18,15-Feb-21,NOT APPLICABLE,8628456,NO,NO,,,,,
Fiji,9027,WINNING NO. 6,Fiji,662,3DZK,N/A,Suva,Fengyuh Fisheries Ltd,"P O Box 16386, Suva",Chen Ya'an,China,N/A,3DZK,"Faria Watchdog (Iridium) 750 E-MTU
",China,2008,Tuna longliner,13,Longlines (not specified),36.6,Overall,Meters,3.05,Meters,6.4,Meters,193,GRT,330,KW,Blast,57,CuM,7,65,MT,Authorisation to fish beyond Fiji fisheries waters,FJHSFA0023,High Seas,Tuna ,16-Feb-18,15-Feb-21,NOT APPLICABLE,8748945,NO,NO,,,,,
Philippines,1894,JASMIN 888,Philippines,00-0003917,DUE-6325,HAYABUSA MARU NO. 2,Manila,FFC SUBIC SEAFOODS CORPORATION,"The Venue Building, Unit 301-B, Lot C-5 Commercial Area, Subic Bay Gateway Park, Subic Bay Freeport Zone, Zambales, Philippines",EDWIN TUBIANO,Philippines,JAPAN,DUE-6325,VMS: Triton Advance Serial No. TM0000115754,Japan,1989,Tuna purse seiner,24,With purse lines (purse seine),62.88,Registered,Meters,7.33,Meters,12,Meters,327,GT,2205,KW,BRINE,886.17,MT,19,886,MT,DISTANT WATER FISHING PERMIT,OPRS-02090-IFP-00-19,No specific areas,TUNA AND TUNA-LIKE SPECIES,07-Nov-19,31-Dec-20,NO,8822064,NO,NO,,,,,
Philippines,3890,PURPLE BEAUTY 888,Philippines,00-0002671,DUE-6131,JIH YU 612,Manila,FFC SUBIC SEAFOODS CORPORATION,"The Venue Building, Unit 301-B Lot C-5, Commercial Area, Subic Bay Gateway Park, Subic Bay Freeport Zone",DANILO BACOMO,Philippines,"CHINESE TAIPEI (TAIWAN), ROC",DUE-6131,INMARSAT 424400421,Chinese Taipei,1986,Tuna purse seiner,26,One boat operated purse seines,56.83,Registered,Meters,7.2,Meters,12.2,Meters,"1,206.00",GT,2237,KW,BRINE/DRY STORAGE,120,MT,6,835,MT,INTERNATIONAL FISHING PERMIT,OPRS-01951-IFP-00-17,No specific areas,TUNA AND TUNA-LIKE SPECIES,09-May-17,08-May-20,NO,8648016,NO,YES: CCM-Flagged,Frabelle PNG Limited,Papua New Guinea,"P.O. Box 1255, Section 227, Allotment 1, Speybank St. Lae City, Papua New Guinea","Tuesday, January 1, 2019","Tuesday, December 31, 2019"
